loan_id,customer_id,loan_type,amount_applied,status,application_date,approved_date
300053,714,car,57317.2,approved,2024-09-18,2024-09-25
300054,537,car,395868.49, REJECTED,2024-06-18,2024-07-16
300055,118,personal,116985.53, REJECTED,2024-12-28,2025-01-26
300056,784,education,276561.99,approved,2024-02-20,2024-03-03
300057,309,home,251550.85,approved,2023-12-11,2023-12-20
300058,749,home,129228.04,APPROVED,2024-05-30,2024-06-06
300059,689,car,303821.81,APPROVED,2024-11-17,2024-12-11
300060,218,education,297001.52,pending,2023-11-09,2023-12-03
300061,53,education,NULL, REJECTED,2025-06-24,2025-07-22
300062,162,personal,NULL,pending,2024-06-12,2024-06-20
300063,412,home,31429.97,pending,2025-02-25,2025-03-12
300064,866,car,446458.56,Approved ,2023-08-31,2023-08-27
300065,576,personal,120626.12,Approved ,2025-01-30,2025-02-05
300066,421,car,51303.72,approved,2023-10-22,2023-10-17
300067,228,home,33629.1,APPROVED,2023-08-21,2023-08-14
300068,967,personal,386682.88,APPROVED,2023-12-28,2024-01-08
300069,681,education,38570.01,pending,2025-06-17,2025-06-25
300070,628,personal,78293.46,approved,2024-06-28,2024-07-03
300071,742,home,418512.65,Approved ,2023-09-14,2023-10-02
300072,960,education,286623.04,approved,2024-02-13,2024-03-04
300073,645,personal,450212.13, REJECTED,2024-04-11,2024-04-26
300074,47,home,90608.89,pending,2024-10-04,2024-10-13
300075,224,education,497577.09,Approved ,2025-01-05,2025-02-02
300076,537,personal,115536.64, REJECTED,2023-09-03,2023-09-20
300077,508,education,179991.08, REJECTED,2025-04-13,2025-05-06
300078,547,education,471147.23, REJECTED,2024-10-15,2024-11-01
300079,733,car,265522.32, REJECTED,2023-11-29,2023-12-27
300080,270,home,314300.05,rejected,2023-10-15,2023-10-15
300081,876,car,265321.97,approved,2023-11-17,2023-11-17
300082,38,education,46526.52,pending,2024-06-17,2024-06-26
300083,143,home,293333.69, REJECTED,2024-09-19,2024-10-09
300084,373,personal,496991.34, REJECTED,2024-07-21,2024-08-19
300085,335,car,158425.94,approved,2024-02-25,2024-03-04
300086,578,home,127161.67,pending,2024-09-23,2024-09-23
300087,31,personal,3830.45, REJECTED,2024-02-03,2024-01-26
300088,693,personal,150395.09,APPROVED,2023-08-23,2023-08-18
300089,11,personal,454522.28, REJECTED,2024-05-06,2024-05-05
300090,105,car,265301.43,pending,2024-05-04,2024-05-19
300091,276,car,311264.52,APPROVED,2025-04-18,2025-05-15
300092,159,education,335243.09,rejected,2025-06-04,2025-05-26
300093,759,car,345342.08,APPROVED,2024-11-13,2024-11-30
300094,536,personal,485591.16, REJECTED,2023-08-14,2023-08-11
300095,392,car,406847.97,rejected,2023-11-05,2023-11-20
300096,392,car,135630.44,approved,2025-02-10,2025-02-09
300097,396,personal,491850.62, REJECTED,2025-05-11,2025-05-01
300098,932,education,166240.96,pending,2023-08-18,2023-09-01
300099,229,home,214699.91,rejected,2024-12-27,2025-01-02
300100,724,education,2246.71, REJECTED,2024-03-11,2024-03-30
300101,127,home,350108.08,approved,2024-11-25,2024-12-05
300102,597,education,329862.68, REJECTED,2024-05-10,2024-05-04
300103,712,car,NULL,approved,2025-06-17,2025-07-15
300104,729,home,477078.93,rejected,2024-09-25,2024-10-04
300105,621,education,313348.25,APPROVED,2025-05-26,2025-06-15
300106,219,personal,219086.82,Approved ,2025-01-30,2025-01-22
300107,702,home,450923.24,pending,2023-09-19,2023-10-17
300108,771,personal,102901.04,APPROVED,2023-07-30,2023-08-17
300109,847,education,382648.2,APPROVED,2024-10-25,2024-10-31
300110,630,education,81560.35,Approved ,2024-09-01,2024-08-28
300111,956,car,374567.62,pending,2024-03-13,2024-03-14
300112,429,education,182997.61,rejected,2023-09-13,2023-09-18
300113,388,car,138588.89,approved,2024-12-06,2024-12-07
300114,497,car,287320.2,pending,2023-08-30,2023-08-25
300115,690,personal,308034.94,rejected,2024-10-18,2024-11-04
300116,935,education,79304.11,APPROVED,2025-04-30,2025-05-02
300117,392,personal,41122.94,pending,2024-06-05,2024-07-04
300118,137,education,123612.0,rejected,2025-03-11,2025-04-04
300119,730,car,471840.93,rejected,2024-05-20,2024-05-30
300120,291,education,479476.49,pending,2024-11-12,2024-11-15
300121,454,home,206876.65,APPROVED,2024-05-10,2024-05-18
300122,419,car,464940.1, REJECTED,2025-06-05,2025-07-05
300123,148,home,358086.69,APPROVED,2024-12-15,2025-01-10
300124,758,personal,30686.1,pending,2024-01-30,2024-02-07
300125,902,education,225584.36,APPROVED,2025-06-25,2025-07-18
300126,252,education,61268.81, REJECTED,2024-10-14,2024-10-31
300127,551,personal,134043.95,approved,2024-05-04,2024-05-25
300128,15,personal,115841.36,rejected,2024-07-02,2024-07-28
300129,846,car,295708.26,Approved ,2023-09-27,2023-09-22
300130,541,personal,98330.53,rejected,2025-05-01,2025-05-23
300131,958,education,473379.3,Approved ,2025-02-03,2025-03-03
300132,345,home,112180.77, REJECTED,2023-08-30,2023-09-18
300133,354,car,100797.27,rejected,2024-09-15,2024-09-25
300134,88,home,348620.66,Approved ,2024-05-16,2024-06-11
300135,276,car,494650.59,approved,2023-08-23,2023-09-22
300136,50,car,NULL,approved,2024-02-10,2024-02-10
300137,403,personal,299543.11,rejected,2023-07-27,2023-08-23
300138,132,personal,18627.72, REJECTED,2024-12-31,2025-01-23
300139,723,personal,176360.19,pending,2023-08-03,2023-08-20
300140,182,education,53308.6,pending,2024-02-18,2024-03-06
300141,11,car,488147.3,Approved ,2024-03-01,2024-03-11
300142,659,home,367902.88,rejected,2025-05-09,2025-06-02
300143,248,personal,493216.25,rejected,2024-04-18,2024-04-12
300144,524,education,241275.59,pending,2024-07-24,2024-07-29
300145,46,car,318364.45,rejected,2025-03-02,2025-02-28
300146,120,home,363141.8, REJECTED,2023-09-05,2023-09-01
300147,544,car,27475.75,Approved ,2024-03-13,2024-03-31
300148,213,car,65436.06,pending,2024-06-04,2024-06-19
300149,172,personal,52329.9,rejected,2024-11-04,2024-10-28
300150,434,education,234385.66,pending,2024-02-13,2024-03-02
300151,802,personal,50941.09,APPROVED,2025-01-31,2025-01-31
300152,972,home,290955.94,Approved ,2023-12-22,2024-01-15
300153,723,personal,425212.31,rejected,2024-11-08,2024-12-06
300154,745,home,453932.34,pending,2024-04-28,2024-04-22
300155,349,car,232346.74,APPROVED,2024-06-13,2024-06-12
300156,242,car,485907.29,rejected,2025-01-05,2025-01-20
300157,447,car,45186.81, REJECTED,2024-11-18,2024-11-17
300158,319,home,377703.06,rejected,2023-09-21,2023-10-03
300159,777,home,78854.53,Approved ,2024-03-10,2024-03-16
300160,595,home,98768.39, REJECTED,2023-10-10,2023-10-11
300161,243,home,445598.43,pending,2024-08-01,2024-07-24
300162,756,education,70403.21,approved,2025-01-19,2025-01-17
300163,254,personal,490481.6, REJECTED,2023-12-03,2023-11-24
300164,687,car,311592.72, REJECTED,2024-11-06,2024-11-23
300165,987,education,NULL,pending,2023-10-20,2023-10-27
300166,947,education,139892.03,pending,2024-05-22,2024-06-18
300167,669,personal,164049.81,APPROVED,2024-02-02,2024-02-21
300168,178,car,148498.89,APPROVED,2025-01-03,2024-12-24
300169,551,personal,30151.39,APPROVED,2023-10-27,2023-10-19
300170,863,personal,28517.61,APPROVED,2024-05-27,2024-06-11
300171,715,car,262060.57,APPROVED,2025-02-22,2025-03-21
300172,115,personal,225645.48,pending,2024-10-15,2024-11-10
300173,559,car,56330.25,rejected,2023-10-23,2023-11-11
300174,361,education,194798.08,Approved ,2023-11-15,2023-11-08
300175,556,personal,1544.54,approved,2024-04-19,2024-04-15
300176,224,home,291645.02,pending,2025-05-19,2025-06-15
300177,117,home,258431.97, REJECTED,2024-05-16,2024-05-26
300178,575,home,13234.9,approved,2024-02-13,2024-02-13
300179,490,car,164007.03,rejected,2023-06-30,2023-06-28
300180,328,personal,492192.54,APPROVED,2023-07-22,2023-07-15
300181,163,home,366454.1,approved,2024-10-01,2024-09-29
300182,728,car,NULL,APPROVED,2023-08-20,2023-09-17
300183,92,car,157749.3,Approved ,2024-01-15,2024-02-09
300184,538,education,93737.41,rejected,2025-06-15,2025-06-30
300185,780,education,326751.56,approved,2025-06-13,2025-06-03
300186,282,personal,NULL,Approved ,2023-09-14,2023-10-14
300187,4,personal,393270.81,APPROVED,2024-07-02,2024-07-28
300188,171,car,466721.9,APPROVED,2024-05-05,2024-05-12
300189,961,home,222301.72,APPROVED,2023-11-09,2023-11-08
300190,234,home,442108.98,APPROVED,2024-03-23,2024-03-23
300191,30,home,37321.75,pending,2024-05-28,2024-06-06
300192,245,education,256550.25,pending,2024-12-30,2024-12-30
300193,947,car,129177.72,pending,2023-11-23,2023-11-30
300194,495,home,209224.88,pending,2023-10-25,2023-10-27
300195,528,personal,156422.47,Approved ,2023-06-29,2023-07-07
300196,38,personal,134574.93,approved,2023-09-05,2023-08-29
300197,478,personal,276128.55, REJECTED,2024-09-25,2024-10-19
300198,729,car,475164.81,APPROVED,2023-07-10,2023-07-24
300199,232,home,466522.34,approved,2023-08-18,2023-08-12
300200,712,personal,206288.93,rejected,2024-09-18,2024-10-03
300201,943,home,270222.88,APPROVED,2023-08-01,2023-08-07
300202,679,car,247208.77,rejected,2024-09-30,2024-10-12
300203,516,personal,305299.67,approved,2024-11-14,2024-12-02
300204,307,education,490756.8,rejected,2024-01-27,2024-02-24
300205,810,personal,262834.77,Approved ,2024-03-08,2024-03-13
300206,564,home,281146.8,APPROVED,2025-05-14,2025-05-14
300207,793,personal,467842.04,approved,2024-10-05,2024-09-28
300208,554,education,132176.57,rejected,2024-04-16,2024-05-12
300209,894,car,341823.47,APPROVED,2024-07-11,2024-07-15
300210,375,home,NULL,approved,2024-04-23,2024-04-14
300211,937,personal,67300.16, REJECTED,2024-04-03,2024-04-16
300212,921,education,491392.12,rejected,2024-09-21,2024-10-08
300213,612,home,202598.47, REJECTED,2023-10-23,2023-11-20
300214,556,home,227619.36,pending,2024-10-16,2024-10-08
300215,796,car,329822.29, REJECTED,2025-03-03,2025-02-27
300216,466,car,367810.67,Approved ,2024-04-30,2024-05-18
300217,592,personal,29607.28,Approved ,2024-05-06,2024-05-10
300218,935,car,282438.95, REJECTED,2024-07-17,2024-07-14
300219,950,home,151076.25,approved,2023-09-17,2023-10-09
300220,819,car,124775.07,Approved ,2024-01-22,2024-01-16
300221,339,car,250008.25,APPROVED,2025-01-28,2025-01-30
300222,640,personal,10572.86,APPROVED,2024-10-04,2024-10-24
300223,455,personal,44118.84,pending,2025-01-19,2025-01-15
300224,769,education,477930.36,pending,2024-04-26,2024-04-22
300225,538,car,416630.8,Approved ,2023-11-21,2023-11-19
300226,500,home,144467.26,APPROVED,2024-10-09,2024-09-29
300227,22,home,267713.82, REJECTED,2024-06-03,2024-06-30
300228,881,car,3757.61,Approved ,2024-05-29,2024-05-19
300229,61,car,365822.17,Approved ,2024-07-29,2024-08-03
300230,864,home,132607.96,Approved ,2024-02-20,2024-03-13
300231,627,personal,375434.0, REJECTED,2024-03-10,2024-03-18
300232,829,car,481235.58,rejected,2024-07-07,2024-08-06
300233,38,education,373778.66,pending,2024-02-02,2024-02-26
300234,718,education,207197.26,Approved ,2025-02-25,2025-03-17
300235,528,car,488317.74,APPROVED,2024-09-10,2024-09-09
300236,1000,car,146397.51,pending,2024-01-16,2024-01-23
300237,480,education,35773.44,pending,2023-09-30,2023-10-20
300238,433,home,417354.08,pending,2023-10-07,2023-09-28
300239,153,car,18053.52, REJECTED,2024-12-21,2025-01-18
300240,241,personal,NULL,approved,2024-03-23,2024-04-22
300241,376,education,36315.16,Approved ,2023-09-21,2023-09-27
300242,784,education,458425.17,rejected,2024-11-26,2024-12-06
300243,503,home,471668.2, REJECTED,2024-06-18,2024-06-16
300244,423,education,273747.81,approved,2023-12-14,2023-12-23
300245,923,personal,217035.16,APPROVED,2023-07-04,2023-07-01
300246,27,car,163466.26,APPROVED,2025-05-09,2025-05-25
300247,799,car,91646.05,approved,2024-07-06,2024-07-28
300248,444,home,23821.07,rejected,2024-11-27,2024-12-06
300249,863,home,27226.21,APPROVED,2023-08-28,2023-09-11
300250,100,car,348548.02,rejected,2024-07-14,2024-07-28
300251,819,education,370458.54,Approved ,2024-09-03,2024-09-13
300252,908,home,489393.18,pending,2024-12-15,2024-12-14
300253,674,car,311324.3, REJECTED,2025-01-09,2025-01-25
300254,857,education,406728.4,Approved ,2025-04-04,2025-04-12
300255,958,home,92585.77,rejected,2024-03-31,2024-04-24
300256,834,personal,69008.54,pending,2023-12-18,2023-12-23
300257,930,personal,98854.0,pending,2024-03-25,2024-04-10
300258,875,personal,75688.69, REJECTED,2024-11-01,2024-11-20
300259,687,education,380734.14,approved,2024-04-25,2024-04-24
300260,162,education,31442.69,rejected,2024-01-03,2024-01-21
300261,223,personal,366989.64,Approved ,2025-05-09,2025-05-03
300262,410,home,233170.6,rejected,2023-12-03,2023-12-10
300263,594,car,79108.87,Approved ,2023-07-05,2023-07-27
300264,164,personal,225770.91,approved,2024-10-07,2024-10-01
300265,848,home,311003.31, REJECTED,2024-07-23,2024-07-27
300266,171,personal,204697.41,approved,2024-12-27,2025-01-20
300267,77,education,258478.96, REJECTED,2025-03-27,2025-04-24
300268,624,car,NULL,rejected,2024-11-08,2024-12-02
300269,29,personal,412622.58,rejected,2023-07-27,2023-07-29
300270,169,personal,427866.56,pending,2023-07-07,2023-07-29
300271,538,car,NULL,rejected,2023-11-18,2023-12-07
300272,147,car,159098.29,rejected,2025-02-11,2025-03-12
300273,692,home,250546.37,APPROVED,2025-02-02,2025-02-17
300274,944,personal,246575.2,Approved ,2024-04-21,2024-05-18
300275,500,home,83677.25,rejected,2025-01-29,2025-01-28
300276,657,personal,258194.61,APPROVED,2025-02-04,2025-01-26
300277,743,home,449752.83,pending,2024-04-02,2024-04-28
300278,940,education,256088.32,APPROVED,2025-05-21,2025-06-03
300279,411,car,286118.29, REJECTED,2023-07-23,2023-07-26
300280,207,home,199968.05,Approved ,2023-09-07,2023-08-30
300281,292,personal,103707.66,rejected,2024-08-25,2024-08-21
300282,54,home,408175.0,Approved ,2023-07-26,2023-08-16
300283,351,education,342937.97,rejected,2024-10-19,2024-10-30
300284,254,personal,384796.13,Approved ,2025-04-19,2025-05-12
300285,698,car,201699.64, REJECTED,2024-10-31,2024-10-27
300286,349,personal,NULL,APPROVED,2024-09-08,2024-09-12
300287,74,education,264103.71,Approved ,2023-08-09,2023-08-21
300288,579,personal,40389.75,approved,2024-03-04,2024-03-28
300289,134,personal,237936.07,rejected,2024-11-29,2024-12-03
300290,994,home,238668.83,rejected,2024-02-27,2024-03-25
300291,945,home,NULL,approved,2024-09-03,2024-09-23
300292,390,car,482975.58,approved,2024-12-05,2024-12-13
300293,813,car,306407.71, REJECTED,2025-06-24,2025-06-20
300294,485,education,471256.39, REJECTED,2024-10-05,2024-10-20
300295,105,personal,59803.09,pending,2025-02-21,2025-02-11
300296,622,car,123365.3,rejected,2025-06-01,2025-06-05
300297,62,personal,219173.67,APPROVED,2025-06-13,2025-07-07
300298,986,personal,300779.38,APPROVED,2024-03-04,2024-03-08
300299,978,personal,105326.99,pending,2024-10-23,2024-11-16
300300,652,home,299117.72,rejected,2024-12-05,2024-12-01
300301,69,personal,432183.75,APPROVED,2024-05-16,2024-06-06
300302,171,education,443483.05,approved,2023-12-14,2024-01-12
300303,48,personal,NULL,pending,2025-03-15,2025-04-06
300304,654,car,274209.89,Approved ,2024-11-14,2024-11-12
300305,993,personal,254378.64,Approved ,2024-03-31,2024-03-25
300306,600,personal,315462.85,Approved ,2025-03-11,2025-03-03
300307,122,car,338301.62, REJECTED,2024-03-27,2024-04-19
300308,96,car,250274.78,approved,2025-03-10,2025-03-19
300309,521,car,236190.16,rejected,2023-11-20,2023-12-18
300310,753,personal,107048.8,Approved ,2024-08-08,2024-08-26
300311,874,education,45320.41,rejected,2024-06-12,2024-07-09
300312,142,car,86116.72,pending,2024-11-04,2024-11-02
300313,999,education,409568.91,Approved ,2023-11-13,2023-11-26
300314,68,car,433237.32,rejected,2023-09-08,2023-09-15
300315,774,home,107411.43,APPROVED,2024-02-03,2024-02-21
300316,52,car,171947.38,rejected,2024-06-14,2024-07-07
300317,924,education,159306.59,pending,2024-06-10,2024-06-29
300318,980,home,341002.91,approved,2025-05-26,2025-06-13
300319,253,home,411177.87, REJECTED,2025-06-23,2025-06-16
300320,397,personal,172147.21, REJECTED,2023-07-09,2023-07-22
300321,488,car,305900.88,pending,2023-07-20,2023-07-29
300322,41,car,349075.65,Approved ,2025-05-23,2025-05-29
300323,222,personal,431946.51,pending,2025-02-19,2025-02-12
300324,878,car,119076.99,approved,2025-04-23,2025-05-14
300325,695,home,221699.08,APPROVED,2025-01-07,2025-02-03
300326,554,education,229561.52,approved,2025-05-02,2025-05-27
300327,377,home,78816.96,APPROVED,2024-07-25,2024-07-17
300328,17,education,242428.88,rejected,2023-10-09,2023-10-12
300329,903,car,409681.89,APPROVED,2024-07-31,2024-07-23
300330,926,personal,491047.86, REJECTED,2025-04-13,2025-04-08
300331,353,personal,422401.81,Approved ,2025-01-08,2025-01-30
300332,743,car,153716.26,APPROVED,2024-05-09,2024-06-02
300333,875,home,396678.91,approved,2023-12-10,2023-12-10
300334,31,car,80186.62,approved,2024-09-21,2024-09-16
300335,611,personal,324205.06,pending,2023-07-06,2023-07-15
300336,45,car,285566.07,approved,2023-07-14,2023-08-12
300337,283,personal,52735.01,rejected,2023-06-29,2023-07-12
300338,507,home,217123.76,Approved ,2025-05-24,2025-06-07
300339,330,personal,348851.82,approved,2023-12-02,2023-12-19
300340,22,personal,391595.63,APPROVED,2024-05-10,2024-05-14
300341,63,education,453230.39, REJECTED,2025-03-26,2025-03-29
300342,962,personal,181984.75,Approved ,2024-11-26,2024-12-07
300343,615,personal,436493.92, REJECTED,2025-03-03,2025-03-19
300344,73,home,NULL, REJECTED,2024-05-25,2024-06-20
300345,431,personal,321437.46,approved,2024-01-10,2023-12-31
300346,427,home,346403.02,APPROVED,2024-06-20,2024-07-12
300347,115,car,414556.75,Approved ,2024-01-22,2024-01-21
300348,169,home,145714.6, REJECTED,2024-05-26,2024-05-16
300349,616,education,158381.14,Approved ,2024-07-25,2024-08-04
300350,693,car,387896.91,rejected,2023-11-05,2023-11-12
300351,377,personal,357739.78,APPROVED,2023-08-25,2023-08-26
300352,578,home,5181.68, REJECTED,2023-10-12,2023-10-12
300353,435,education,308740.92, REJECTED,2025-05-13,2025-05-14
300354,739,car,477354.95,approved,2023-10-18,2023-10-20
300355,790,home,NULL,pending,2024-07-10,2024-07-23
300356,869,personal,87392.42,pending,2025-04-05,2025-04-22
300357,400,car,471370.7,approved,2024-11-14,2024-11-06
300358,117,car,326502.88,Approved ,2024-09-26,2024-10-21
300359,947,car,280649.9,APPROVED,2024-12-18,2025-01-01
300360,665,education,255779.15, REJECTED,2024-06-21,2024-06-25
300361,633,home,15273.33,pending,2024-05-20,2024-06-11
300362,711,home,237855.3,Approved ,2025-04-11,2025-05-03
300363,467,education,67455.82,approved,2024-02-25,2024-02-16
300364,615,home,199609.91,Approved ,2025-02-15,2025-03-15
300365,20,personal,40336.92,APPROVED,2024-12-24,2025-01-21
300366,836,car,274925.51,approved,2023-12-05,2023-12-10
300367,177,car,37866.03,approved,2023-07-27,2023-07-21
300368,750,car,83214.34,APPROVED,2023-09-23,2023-10-15
300369,789,car,86924.69,APPROVED,2024-07-07,2024-07-14
300370,902,car,386734.1,rejected,2024-06-28,2024-06-24
300371,633,car,187549.3, REJECTED,2023-07-29,2023-07-31
300372,514,personal,497802.45, REJECTED,2023-08-10,2023-08-07
300373,727,car,422098.75,Approved ,2025-06-20,2025-07-17
300374,167,education,153020.2,APPROVED,2024-12-08,2024-12-15
300375,869,education,336436.43,Approved ,2024-10-02,2024-10-09
300376,356,car,37929.8,approved,2025-02-08,2025-03-09
300377,689,personal,459148.9,pending,2024-11-09,2024-12-01
300378,72,education,320658.73,Approved ,2023-12-25,2023-12-26
300379,369,car,2609.97,Approved ,2024-01-19,2024-01-19
300380,494,education,137613.24,APPROVED,2024-04-02,2024-04-28
300381,284,education,305656.04,rejected,2025-01-10,2025-01-10
300382,959,education,19553.4,Approved ,2024-06-27,2024-07-09
300383,123,personal,172438.87,APPROVED,2024-01-26,2024-01-23
300384,878,education,440537.57,APPROVED,2025-03-27,2025-03-26
300385,874,home,379660.51,Approved ,2024-05-29,2024-05-30
300386,473,personal,164829.46,pending,2024-02-28,2024-03-27
300387,639,education,250277.76,rejected,2023-11-04,2023-11-22
300388,204,education,13116.82,approved,2025-01-02,2025-01-05
300389,524,home,51744.33,rejected,2024-01-01,2024-01-06
300390,817,personal,136977.94,rejected,2025-02-22,2025-03-02
300391,293,home,338570.1,approved,2025-06-23,2025-07-09
300392,769,home,88638.03, REJECTED,2023-10-28,2023-11-15
300393,773,car,499535.1,APPROVED,2023-07-24,2023-07-14
300394,877,home,319735.05,APPROVED,2024-08-18,2024-08-12
300395,210,education,98662.6,Approved ,2025-02-17,2025-03-19
300396,377,car,69267.29,pending,2023-07-23,2023-07-17
300397,325,home,226681.75,rejected,2023-11-12,2023-11-19
300398,994,personal,118651.97,APPROVED,2024-12-05,2024-12-11
300399,91,education,220311.5,rejected,2024-03-23,2024-03-25
300400,263,education,175792.02,rejected,2024-05-29,2024-06-03
300401,350,education,265252.63,pending,2023-09-27,2023-10-22
300402,730,home,135270.7, REJECTED,2023-12-19,2023-12-12
300403,7,personal,138773.29,APPROVED,2023-12-14,2024-01-11
300404,217,car,415728.12,approved,2023-11-27,2023-12-08
300405,964,car,482484.48,rejected,2023-12-28,2024-01-16
300406,360,home,497168.98,Approved ,2025-01-27,2025-02-07
300407,477,home,423321.76,APPROVED,2024-04-19,2024-05-14
300408,924,car,246533.08,pending,2024-04-09,2024-04-05
300409,199,car,146255.35,Approved ,2025-03-01,2025-02-24
300410,252,home,365560.91,Approved ,2024-07-05,2024-07-18
300411,75,car,7818.08,rejected,2024-05-30,2024-06-06
300412,210,car,369873.84,APPROVED,2023-08-26,2023-09-23
300413,776,car,188880.27,pending,2023-07-27,2023-07-21
300414,933,personal,435965.83,approved,2024-01-25,2024-02-08
300415,446,education,220339.73,pending,2025-04-26,2025-05-26
300416,829,car,339536.15,APPROVED,2023-07-20,2023-07-23
300417,150,education,13229.81,APPROVED,2025-06-08,2025-06-16
300418,290,personal,236957.08,rejected,2024-11-23,2024-11-18
300419,973,home,112345.53,Approved ,2025-01-28,2025-02-16
300420,300,home,217247.55,Approved ,2024-03-19,2024-04-13
300421,207,home,NULL,approved,2024-08-19,2024-08-14
300422,393,car,76429.45, REJECTED,2024-07-02,2024-08-01
300423,665,personal,20999.19, REJECTED,2023-09-15,2023-10-01
300424,95,car,326373.06,approved,2025-03-15,2025-03-30
300425,835,personal,170845.69,rejected,2024-03-19,2024-04-02
300426,787,home,NULL,pending,2024-11-17,2024-12-17
300427,538,personal,322486.27,pending,2023-09-29,2023-10-14
300428,955,education,174940.96,Approved ,2025-02-01,2025-01-28
300429,191,education,321816.7,pending,2023-12-15,2023-12-21
300430,297,personal,434629.98, REJECTED,2024-09-13,2024-09-22
300431,636,car,13778.47,APPROVED,2024-12-22,2024-12-15
300432,971,home,20496.93,APPROVED,2023-10-10,2023-11-06
300433,884,education,92575.44,approved,2023-11-27,2023-11-23
300434,913,personal,210192.47,Approved ,2024-02-15,2024-02-12
300435,540,personal,391231.8,Approved ,2023-08-26,2023-08-31
300436,377,car,2797.52,pending,2024-07-30,2024-08-01
300437,305,education,481432.62,approved,2024-05-21,2024-05-17
300438,996,education,412040.42,pending,2024-08-20,2024-08-23
300439,79,personal,158103.62,approved,2024-05-30,2024-06-23
300440,602,home,182636.25,rejected,2025-01-25,2025-01-29
300441,818,home,172338.53,rejected,2025-05-26,2025-06-09
300442,23,car,38714.72,approved,2024-06-07,2024-07-06
300443,273,home,102355.49,Approved ,2024-01-24,2024-02-22
300444,490,education,34335.6,Approved ,2025-04-15,2025-04-11
300445,629,home,308266.86, REJECTED,2025-05-05,2025-05-21
300446,103,education,177728.81,Approved ,2025-04-26,2025-05-21
300447,616,personal,270183.53,approved,2023-11-17,2023-12-14
300448,367,education,329742.38,APPROVED,2024-01-11,2024-01-18
300449,599,education,85529.35,APPROVED,2024-03-05,2024-03-01
300450,346,personal,365463.78,pending,2024-09-19,2024-09-14
300451,338,personal,493829.17,pending,2025-03-15,2025-03-13
300452,362,car,272387.06,APPROVED,2023-08-12,2023-08-27
